Destination,Value,Fiscal Year
Venus,30.4,1980
Mars,14.7,1981
Venus (nominal $),4.7,1981
Mars (nominal $),4.4,1981
Mars Data Analysis,4.4,1981
Mars Exploration Program,,1981
Mercury,0,1981
Outer Planets,315.1,1981
Outer Planets Program,,1981
Pioneer Venus,4.7,1981
Small Bodies,0,1981
The Moon,0,1981
Venus,15.7,1981
Mars,9,1982
Venus (nominal $),5.1,1982
Mars (nominal $),2.9,1982
Mars Data Analysis,2.9,1982
Mars Exploration Program,,1982
Mercury,0,1982
Outer Planets,418.8,1982
Outer Planets Program,,1982
Pioneer Venus,5.1,1982
Small Bodies,0,1982
The Moon,0,1982
Venus,15.7,1982
Mars,12.6,1983
Venus (nominal $),5.1,1983
Mars (nominal $),4.3,1983
Mars Data Analysis,4.3,1983
Mars Exploration Program,,1983
Mercury,0,1983
Outer Planets,318.4,1983
Outer Planets Program,,1983
Pioneer Venus,5.1,1983
Small Bodies,0,1983
The Moon,0,1983
Venus,14.8,1983
Mars,8,1984
Venus (nominal $),34.1,1984
Mars (nominal $),2.9,1984
Mars Data Analysis,2.9,1984
Mars Exploration Program,,1984
Mercury,0,1984
Outer Planets,273.2,1984
Outer Planets Program,,1984
Pioneer Venus,5.1,1984
Small Bodies,0,1984
The Moon,0,1984
Venus,94.4,1984
Mars,43.1,1985
Venus (nominal $),97.6,1985
Mars (nominal $),16.1,1985
Mars Data Analysis,3.1,1985
Mars Exploration Program,,1985
Mercury,0,1985
Outer Planets,227.4,1985
Outer Planets Program,,1985
Pioneer Venus,5.1,1985
Small Bodies,0,1985
The Moon,0,1985
Venus,261.5,1985
Mars,96,1986
Venus (nominal $),125.4,1986
Mars (nominal $),36.9,1986
Mars Data Analysis,3.1,1986
Mars Exploration Program,,1986
Mercury,0,1986
Outer Planets,247.2,1986
Outer Planets Program,,1986
Pioneer Venus,5.1,1986
Small Bodies,0,1986
The Moon,0,1986
Venus,326.2,1986
Mars,96.6,1987
